liter_id,liter_name,text
11,我家那小子,《我家那小子》是湖南卫视推出的中国亲情观察成长励志节目，由湖南卫视节目中心制作，节目主持人为李维嘉、大张伟、刘欣然，节目共12期。该节目由陈学冬、武艺、钱枫、朱雨辰、徐海乔展现独居生活，并由大张伟、李维嘉、欣然三位情感观察员陪同艺人家长团观看明星独居生活视频，在互相交流中深入了解明星们的日常。《我家那小子》于2018年7月7日每周六晚22:00接档《我是大侦探》在湖南卫视首播，于2018年9月22日收官。
12,声生不息,《声生不息》是芒果TV、湖南卫视联合其他制作单位推出的音乐竞唱交流节目，分为《声生不息·港乐季》、《声生不息·宝岛季》、《声生不息·家年华》、《声生不息·大湾区季》，由何炅主持。节目借以年代为线索，通过主题竞演的对抗，全面梳理具有各地特色的“中华音乐编年史”，与观众共创一张“声生不息”的时代唱片。港乐季于2022年4月24日起每周日12:00在芒果TV播出，于2022年7月10日完结；宝岛季于2023年3月16日起每周四19:30在芒果TV上线，于2023年6月3日完结；家年华于2023年12月2日起每周六12:00在芒果TV上线，于2024年2月17日完结；大湾区季于2024年11月29日起在芒果TV播出。
13,再见爱人,《再见爱人》是芒果TV出品的婚姻纪实观察真人秀，包括：《再见爱人第一季》《再见爱人第二季》《再见爱人第三季》《再见爱人第四季》。节目以第三人的视角探讨婚姻中的酸甜苦辣，三对面临婚姻危机的夫妻踏上为期18天的旅程，回首相爱的美好，剖析婚姻的问题，带给观众共鸣与反思。《再见爱人第一季》由李维嘉、胡彦斌、郭采洁、孙怡、黄执中、千喆、沈奕斐组成观察团；章贺&郭柯宇夫妇、魏巍&佟晨洁夫妇、王秋雨&朱雅琼夫妇组成夫妻团，于2021年7月28日播出，2021年10月27日完结。《再见爱人第二季》由胡彦斌、郭采洁、孙怡、易立竞、黄执中、沈奕斐、千喆组成观察团，陈美玲&艾威夫妇、苏诗丁&卢歌夫妇、张婉婷&宋宁峰夫妇组成夫妻团，于2022年11月1日播出，2023年2月14日完结。《再见爱人第三季》由胡彦斌、孙怡、黄执中、殷悦、papi酱、李松蔚组成观察团，由傅首尔&刘毅夫妇、纪焕博&王诗晴夫妇、王睡睡&张硕夫妇组成夫妻团，于2023年9月4日播出，2023年11月29日完结。《再见爱人第四季》由胡彦斌、papi酱、黄执中、沈奕斐、侯佩岑、武艺组成观察团，黄圣依&杨子夫妇、麦琳&李行亮夫妇、葛夕&刘爽夫妇组成夫妻团，于2024年10月17日播出。
14,创业开放麦,《创业开放麦》是由吴泽林和郭展豪主持，由湖南广电与湖南省教育厅、共青团湖南联合打造的全国首档大学生创业脱口秀节目。2024年12月20日起，每周五、周六中午12:35在湖南卫视、芒果TV播出。
15,超棒的我们,《超棒的我们》是芒果TV出品的综艺节目。常驻嘉宾有赵小棠、高瀚宇、宋妍霏、王勉、林墨。节目围绕12位热爱棒球的少年，通过两个月封闭式的合宿、训练、比赛，成长为棒球新榜样，并特邀国际棒球领域专业教练邱企彬、徐铮、张伏佳、张振旺和“入营见证人”赵小棠等明星嘉宾。
16,名侦探的假期,《名侦探的假期》是由芒果TV推出的轻推理旅行团体综艺，晏吉担任节目制片人，何炅、张若昀、大张伟、王鸥、魏晨、杨蓉、吴昕组成Habibi团。节目邀请名侦探俱乐部成员，利用三天假期，前往“地中海好莱坞”马耳他，开启一场修炼名侦探品格的“充电之旅”。嘉宾们在三天的旅程中，通过实地探索、解谜推理、沉浸式体验等方式，完成一次对观察力、探索力、表现力等多重侦探技能的全方位充电。节目于2024年12月19日12:00播出第一期，自2024年12月25日起每周三12:00播出。
17,女子推理社,《女子推理社》是芒果TV推出的全女性剧式沉浸推理节目，由戚薇、张雨绮、李一桐、李雪琴、田曦薇、张艺凡组成“好好好推理社”，沉浸式融入职场生活。包括《女子推理社第一季》《女子推理社第二季》。节目以单期解谜和长线剧情，连载式双维推进，逐步解锁，推理真相。通过每集普法议题，剖析案件成因及其背后的社会热点，感受身边的法理情。第一季于2023年4月18日12:00播出推理社集结篇和第一期，于2023年4月25日起每周二、周三12:00播出正片，于2023年7月11日完结。第二季于2024年10月29日、11月5日12:00播出推理社的聚会，于2024年11月11日12:00播出先导片，于2024年11月12日起每周二、周三12:00播出正片。
18,森林进化论,《森林进化论》是由芒果TV推出的实景博弈推理综艺。包括《森林进化论第一季》《森林进化论第二季》。节目集理解、计算、观察、反应、战略、推理、沟通、信息甄别力等多维度展现了多元青年综合素质。在相互制衡的游戏规则之下，与玩家一起洞见理智的光辉，探索博弈的奥秘。第一季于2023年7月15日12:00在芒果TV上线第一期（上），于2023年7月25日起每周二12点播出，于2023年10月3日完结。第二季于2024年10月12日上线彩蛋篇，于2024年10月15日起每周二12:00在芒果TV播出。
19,芒果新生班,《芒果新生班·搭档季》是湖南卫视、芒果TV打造的表演新生实训成长节目，由秦海璐担当新生班班主任，周一围担任老师。节目由秦海璐和周一围共同带领10位具有潜力的表演新生展开为期40天的表演训练生活，完成6部实训剧的拍摄。节目于2024年10月12日芒果TV12:00上线先导片，湖南卫视17:30播出；2024年10月13日起，每周日12:00芒果TV正片上线，21:10湖南卫视播出。
20,你好，星期六,《你好，星期六》是由湖南卫视制作，何炅、吴泽林、小漾（实习虚拟数字主持人）担任主持人，丁程鑫、檀健次、秦霄贤、蔡文静、李雪琴、王鹤棣、杨迪担任好六团成员的趣味艺能综艺秀节目。节目每期会邀请几位飞行嘉宾参与录制，以全新打造的好六街街区为背景，将平凡生活的烟火气搬进演播厅，展现市井生活人间百态。深度挖掘好6团和飞行嘉宾们的艺能的同时，对当下最具热点的社会话题以及正能量价值观导向进行引导和输出，重新定义了以艺服人、以能动人的综艺准入门槛。节目口号：你好星期六，精彩看不够！节目于2022年1月1日起每周六20：10在湖南卫视首播，2022年7月30日起提档至每周六19：30播出。2022年，获得2022微博之夜“微博年度人气综艺”。2023年，获得2023微博视界大会“年度影响力作品”。2024年，获得2023微博之夜“微博年度综艺”。
21,岳阳楼记,《岳阳楼记》是北宋文学家范仲淹于庆历六年九月十五日（1046年10月17日）应好友巴陵郡太守滕子京之请为重修岳阳楼而创作的一篇散文。这篇文章通过写岳阳楼的景色，以及阴雨和晴朗时带给人的不同感受，揭示了“不以物喜，不以己悲”的古仁人之心，也表达了自己“先天下之忧而忧，后天下之乐而乐”的爱国爱民情怀。文章超越了单纯写山水楼观的狭境，将自然界的晦明变化、风雨阴晴和“迁客骚人”的“览物之情”结合起来写，从而将全文的重心放到了纵议政治理想方面，扩大了文章的境界。全文记叙、写景、抒情、议论融为一体，动静相生，明暗相衬，文词简约，音节和谐，用排偶章法作景物对比，成为杂记中的创新。
22,芙蓉楼送辛渐二首,《芙蓉楼送辛渐二首》是唐代诗人王昌龄的组诗作品。这两首诗作于作者被贬为江宁（今江苏南京）县丞时。第一首诗写的是第二天早晨作者在江边送别辛渐的情景，平明送客，临别托意；第二首诗是回顾第一天晚上作者在芙蓉楼为辛渐饯别的情景，依依惜别，酒不尽兴。全诗即景生情，融情入景，笔调苍凉，意境开阔，含蓄蕴藉，韵味无穷。
23,与夏十二登岳阳楼,《与夏十二登岳阳楼》是唐代诗人李白创作的一首五律。此诗描写诗人登岳阳楼极目远眺天岳山之南所见到的景象，表现了一时乐以忘忧的闲适旷达的襟怀。全诗没有正面描写楼高，而是运用陪衬、烘托和夸张的手法，从俯视、遥望、纵观、感觉等不同角度形容楼之高，不露斧凿痕迹，自然浑成，巧夺天工，风格飘逸潇洒。
24,贼退示官吏,《贼退示官吏》是唐代文学家元结的诗作。此诗旨在斥责统治者的横征暴敛。诗序交代了历史背景，诗中表现了官吏不顾人民死活的社会现状，揭露了安史之乱以后官吏对人民横征暴敛的罪行，批判了征敛害民的官吏，控诉了官不如贼的黑暗社会。作者表示宁愿弃官归隐，也绝不做残害人民以邀功之人。全诗质朴自然，感情真挚，直抒胸臆，毫无雕饰之感。
25,登岳阳楼,《登岳阳楼》是唐代诗人杜甫的诗作。这是一首即景抒情之作，前两联写登岳阳楼所见，用凝练的语言，将洞庭湖水势浩瀚无际的磅礴气势和宏伟壮丽的形象真实地描画出来，勾勒出一幅气象万千的画面。颈联表现自己政治生活坎坷，漂泊天涯，怀才不遇的心情。尾联抒写出诗人眼睁睁看着国家离散而又无可奈何，空有一腔热忱却报国无门的凄伤。这首诗意蕴丰厚，抒情虽低沉抑郁，却吞吐自然，显得雄浑大气，气度超然。
26,湘中酬张十一功曹,《湘中酬张十一功曹》是唐代文学家韩愈创作的一首诗。此诗是韩愈和张署遭贬后遇赦同赴江陵途中所作，诗中表现了作者遇赦北移的心情，抒发了劫后余生的感慨。诗人用清湘泛舟之乐来排解往日的忧伤，用友情的温暖来慰藉眼前的苦闷。全诗用语奇崛，笔力遒劲。
27,采菱行并序,《采菱行》是唐代诗人刘禹锡创作的一首七言乐府诗。此诗施大笔墨、花大力气描述了岁秋之季，白马湖上的采菱姑娘们辛勤忙碌的劳动生活。全诗语言清新，叙述流畅，既有明秀艳丽之笔，又不失清辉愁涩之韵，在两相对比之中，诗人的真性情袒露无遗。
28,溪居,《溪居》是唐代诗人柳宗元贬官永州时所作的一首五言古诗。这首诗描写诗人被贬官到有“南荒”之称的永州后，在溪边筑室而居，过着闲适的生活。表面上自我排遣，也自得其乐，实际上曲折地表达被贬谪的幽愤，字里行间隐含了作者壮志难酬的苦闷之情。在表现手法上，全诗不假雕琢，放笔写来，自然平淡而又清新旷远。
29,春滞沅湘有怀山中,《春滞沅湘有怀山中》是唐代李白所作的一首诗。
30,寄穆侍御出幽州,《寄穆侍御出幽州》是中国唐代著名诗人王昌龄所写的一首七言绝句。这首诗是寄给一位姓穆的朋友，此人官为侍御史，正要到幽州（今河北省地区）去。诗意说：自从我蒙恩降官，度过潇湘二水，来到龙标，我在江南，你却到塞北去了。我们相隔万里，可是，你不要说，你不容易从蓟门寄信来，要知道在秋天里从北方飞来的大雁也飞得到衡阳呢。
31,双送粮,《双送粮》，是一出花鼓戏，由徐叔华创作，原名《推土车》，作品创作于1950年。该作品反映了土改运动后农民翻身分得土地的喜悦心情，今天的民歌《浏阳河》便是源自其中第三段。
32,浏阳河,《浏阳河》是湖南民歌，由徐叔华作词，唐璧光原曲，朱立奇、齐芝田等集体编配，最终版本于1971年8月完成。这首歌自创作以来，相继有多位演唱家以不同方式及风格进行演绎，包括蒋大为、李谷一、宋祖英等，流传甚广。该歌曲是一首反映农民新生活的文艺作品，歌词脱胎于一部“送粮路上”的小歌舞剧《双送粮》，有感于当时农村经过土改分田分地后，农民踊跃上交公粮的场景。曲子则由《送瓜调》的曲子替换而成，后编配为快二拍的节奏。自公开演唱以来，广为流传，熟悉的旋律穿越几代人的岁月，是典型的原创型歌曲。该歌曲的曲调优美婉转，带着浓郁的湖湘风情，已经成为浏阳的一种文化符号。2019年，《浏阳河》在由中共湖南省委宣传部、湖南省文化和旅游厅、湖南省文联等单位联合主办的“唱响70年﹒我喜爱的湖南金曲”评选活动中获得“金曲奖”荣誉，在由中国音乐协会、人民日报媒体技术股份有限公司主办的“歌声唱响中国——最美城市音乐名片全国征集推选活动”中获得“最美城市音乐名片十佳歌曲”荣誉。
33,打铜锣,《打铜锣》是由王为一执导，李果仁编剧，凌国康、李小嘉等主演的戏曲电影。 该片讲述了收割季节蔡九负责打锣防止鸡鸭损害集体利益，今年与明知故犯的林十娘展开斗争，最终林十娘认识错误的故事。
34,补锅,《补锅》是由王为一执导，唐周、徐淑华编剧，钟宜谆、李谷一等主演的戏曲电影。 该片是著名的湖南花鼓戏现代剧目，主要讲述的是年轻人的爱情观，体现了当时自由恋爱的开始萌芽以及思想时代的进步的故事。
35,刘海砍樵,《刘海砍樵》的第一个词义就是湖南一种花鼓戏。因为非常好听而且计划经济时代人们的文艺生活很有限，因此它在湖南城乡各演出队曾很盛行。1984年春晚上湘籍歌唱家李谷一和姜昆的小品演出让它闻名全国。《刘海砍樵》的比古戏只是其中一部分内容，即其精彩对唱部分。2006年，“刘海砍樵传说”被列入第一批“湖南省非物质文化遗产代表性项目名录”，申报地湖南省常德市。
36,打鸟,《打鸟》是著名的湖南花鼓小戏剧目，由湖南省花鼓戏剧院演唱。
